trait,species,mean,max
Leaf.length,Schoenus.villosus,32,32
Leaf.length,Senecio.amygdalifolius,12,12
Leaf.length,Senecio.anethifolius,8,8
Leaf.length,Senecio.angulatus,5,5
Leaf.length,Senecio.bathurstianus,8,8
Leaf.length,Senecio.behrianus,3,3
Leaf.length,Senecio.bipinnatisectus,10,10
Leaf.length,Senecio.biserratus,12,12
Leaf.length,Senecio.brigalowensis,12,12
Leaf.length,Senecio.campylocarpus,24,24
Leaf.length,Senecio.crassiflorus,8,8
Leaf.length,Senecio.cunninghamii,15,15
Leaf.length,Senecio.daltonii,10,10
Leaf.length,Senecio.diaschides,12,12
Leaf.length,Senecio.elegans,10,10
Leaf.length,Senecio.garlandii,15,15
Leaf.length,Senecio.glastifolius,15,15
Leaf.length,Senecio.glomeratus,9,9
Leaf.length,Senecio.glossanthus,4,4
Leaf.length,Senecio.gregorii,9,9
Leaf.length,Senecio.gunnii,10,10
Leaf.length,Senecio.hispidulus,8,8
Leaf.length,Senecio.howeanus,4,4
Leaf.length,Senecio.jacobaea,12,12
Leaf.length,Senecio.lacustrinus,12,12
Leaf.length,Senecio.lageniformis,10,10
Leaf.length,Senecio.lanibracteus,10,10
Leaf.length,Senecio.leptocarpus,8,8
Leaf.length,Senecio.linearifolius,15,15
Leaf.length,Senecio.longicollaris,24,24
Leaf.length,Senecio.macranthus,12,12
Leaf.length,Senecio.madagascariensis,7,7
Leaf.length,Senecio.magnificus,9,9
Leaf.length,Senecio.microbasis,10,10
Leaf.length,Senecio.minimus,12,12
Leaf.length,Senecio.pauciradiatus,6,6
Leaf.length,Senecio.pectinatus,7,7
Leaf.length,Senecio.platylepis,8,8
Leaf.length,Senecio.prenanthoides,12,12
Leaf.length,Senecio.productus,7,7
Leaf.length,Senecio.pterophorus,10,10
Leaf.length,Senecio.quadridentatus,12,12
Leaf.length,Senecio.queenslandicus,10,10
Leaf.length,Senecio.runcinifolius,10,10
Leaf.length,Senecio.spathulatus,5,5
Leaf.length,Senecio.tamoides,7,7
Leaf.length,Senecio.tenuiflorus,10,10
Leaf.length,Senecio.tuberculatus,10,10
Leaf.length,Senecio.vagus,12,12
Leaf.length,Senecio.velleioides,12,12
Leaf.length,Senecio.vulgaris,8,8
Leaf.length,Setaria.australiensis,30,30
Leaf.length,Setaria.incrassata,60,60
Leaf.length,Setaria.italica,90,90
Leaf.length,Setaria.palmifolia,90,90
Leaf.length,Setaria.parviflora,25,25
Leaf.length,Setaria.paspalidioides,30,30
Leaf.length,Setaria.poiretiana,70,70
Leaf.length,Setaria.pumila,30,30
Leaf.length,Setaria.sphacelata,30,30
Leaf.length,Setaria.surgens,15,15
Leaf.length,Setaria.verticillata,30,30
Leaf.length,Setaria.viridis,30,30
Leaf.length,Silene.apetala,2.5,2.5
Leaf.length,Silene.chalcedonica,4,4
Leaf.length,Silene.coronaria,15,15
Leaf.length,Silene.dioica,8,8
Leaf.length,Silene.gallica,3.5,3.5
